,Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,PERIODIC_BREATHING,labels_periodic
198,"02:09:15AM Feb 6, 2022",98,69,0,0,0,0,0
199,"02:09:19AM Feb 6, 2022",98,70,0,0,0,0,0
200,"02:09:23AM Feb 6, 2022",98,66,0,0,0,0,0
201,"02:09:27AM Feb 6, 2022",98,66,0,0,0,0,0
202,"02:09:31AM Feb 6, 2022",98,71,0,0,0,0,0
203,"02:09:35AM Feb 6, 2022",98,73,0,0,0,0,0
204,"02:09:39AM Feb 6, 2022",98,75,0,0,0,0,0
205,"02:09:43AM Feb 6, 2022",98,70,0,0,0,0,0
206,"02:09:47AM Feb 6, 2022",98,69,0,0,0,0,0
207,"02:09:51AM Feb 6, 2022",98,68,0,0,0,0,0
208,"02:09:55AM Feb 6, 2022",98,62,0,0,0,0,0
209,"02:09:59AM Feb 6, 2022",98,67,0,0,0,0,0
210,"02:10:03AM Feb 6, 2022",98,66,0,0,0,0,0
211,"02:10:07AM Feb 6, 2022",98,66,0,0,0,0,0
212,"02:10:11AM Feb 6, 2022",98,72,0,0,0,0,0
213,"02:10:15AM Feb 6, 2022",98,67,0,0,0,0,0
214,"02:10:19AM Feb 6, 2022",98,71,0,0,0,0,0
215,"02:10:23AM Feb 6, 2022",98,65,0,0,0,0,0
216,"02:10:27AM Feb 6, 2022",98,64,0,0,0,0,0
217,"02:10:31AM Feb 6, 2022",98,72,0,0,0,0,0
218,"02:10:35AM Feb 6, 2022",98,73,0,0,0,0,0
219,"02:10:39AM Feb 6, 2022",98,71,0,0,0,0,0
220,"02:10:43AM Feb 6, 2022",98,75,0,0,0,0,0
221,"02:10:47AM Feb 6, 2022",98,74,0,0,0,0,0
222,"02:10:51AM Feb 6, 2022",98,77,0,0,0,0,0
223,"02:10:55AM Feb 6, 2022",98,77,0,0,0,0,0
224,"02:10:59AM Feb 6, 2022",98,73,0,0,0,0,0
225,"02:11:03AM Feb 6, 2022",98,71,0,0,0,0,0
226,"02:11:07AM Feb 6, 2022",98,77,0,0,0,0,0
227,"02:11:11AM Feb 6, 2022",98,74,0,0,0,0,0
228,"02:11:15AM Feb 6, 2022",98,78,0,0,0,0,0
229,"02:11:19AM Feb 6, 2022",98,72,0,0,0,0,0
230,"02:11:23AM Feb 6, 2022",98,72,0,0,0,0,0
231,"02:11:27AM Feb 6, 2022",98,74,0,0,0,0,0
232,"02:11:31AM Feb 6, 2022",98,73,0,0,0,0,0
233,"02:11:35AM Feb 6, 2022",98,75,0,0,0,0,0
234,"02:11:39AM Feb 6, 2022",98,74,0,0,0,0,0
235,"02:11:43AM Feb 6, 2022",98,72,0,0,0,0,0
236,"02:11:47AM Feb 6, 2022",98,71,0,0,0,0,0
237,"02:11:51AM Feb 6, 2022",98,72,0,0,0,0,0
238,"02:11:55AM Feb 6, 2022",98,66,0,0,0,0,0
239,"02:11:59AM Feb 6, 2022",98,64,0,0,0,0,0
240,"02:12:03AM Feb 6, 2022",98,67,0,0,0,0,0
241,"02:12:07AM Feb 6, 2022",98,76,0,0,0,0,0
242,"02:12:11AM Feb 6, 2022",98,69,0,0,0,0,0
243,"02:12:15AM Feb 6, 2022",98,69,0,0,0,0,0
244,"02:12:19AM Feb 6, 2022",98,67,0,0,0,0,0
245,"02:12:23AM Feb 6, 2022",98,58,0,0,0,0,0
246,"02:12:27AM Feb 6, 2022",98,60,0,0,0,0,0
247,"02:12:31AM Feb 6, 2022",98,64,0,0,0,0,0
248,"02:12:35AM Feb 6, 2022",98,61,0,0,0,0,0
249,"02:12:39AM Feb 6, 2022",98,65,0,0,0,0,0
250,"02:12:43AM Feb 6, 2022",98,72,0,0,0,0,0
251,"02:12:47AM Feb 6, 2022",98,71,0,0,0,0,0
252,"02:12:51AM Feb 6, 2022",98,72,0,0,0,0,0
253,"02:12:55AM Feb 6, 2022",98,69,0,0,0,0,0
254,"02:12:59AM Feb 6, 2022",98,70,0,0,0,0,0
255,"02:13:03AM Feb 6, 2022",98,71,0,0,0,0,0
256,"02:13:07AM Feb 6, 2022",98,73,0,0,0,0,0
257,"02:13:11AM Feb 6, 2022",98,72,0,0,0,0,0
258,"02:13:15AM Feb 6, 2022",98,72,0,0,0,0,0
259,"02:13:19AM Feb 6, 2022",98,73,0,0,0,0,0
260,"02:13:23AM Feb 6, 2022",98,74,0,0,0,0,0
261,"02:13:27AM Feb 6, 2022",98,72,0,0,0,0,0
262,"02:13:31AM Feb 6, 2022",98,68,0,0,0,0,0
263,"02:13:35AM Feb 6, 2022",98,68,0,0,0,0,0
264,"02:13:39AM Feb 6, 2022",98,70,0,0,0,0,0
265,"02:13:43AM Feb 6, 2022",98,72,0,0,0,0,0
266,"02:13:47AM Feb 6, 2022",98,74,0,0,0,0,0
267,"02:13:51AM Feb 6, 2022",98,73,0,0,0,0,0
268,"02:13:55AM Feb 6, 2022",98,70,0,0,0,0,0
269,"02:13:59AM Feb 6, 2022",98,68,0,0,0,0,0
270,"02:14:03AM Feb 6, 2022",98,73,0,0,0,0,0
271,"02:14:07AM Feb 6, 2022",98,70,0,0,0,0,0
272,"02:14:11AM Feb 6, 2022",98,72,0,0,0,0,0
273,"02:14:15AM Feb 6, 2022",98,71,0,0,0,0,0
274,"02:14:19AM Feb 6, 2022",98,73,0,0,0,0,0
275,"02:14:23AM Feb 6, 2022",98,69,0,0,0,0,0
276,"02:14:27AM Feb 6, 2022",98,72,0,0,0,0,0
277,"02:14:31AM Feb 6, 2022",98,74,0,0,0,0,0
278,"02:14:35AM Feb 6, 2022",98,75,0,0,0,0,0
279,"02:14:39AM Feb 6, 2022",98,71,0,0,0,0,0
280,"02:14:43AM Feb 6, 2022",98,70,0,0,0,0,0
281,"02:14:47AM Feb 6, 2022",98,75,0,0,0,0,0
282,"02:14:51AM Feb 6, 2022",98,79,0,0,0,0,0
283,"02:14:55AM Feb 6, 2022",98,80,0,0,0,0,0
284,"02:14:59AM Feb 6, 2022",98,71,0,0,0,0,0
285,"02:15:03AM Feb 6, 2022",98,66,0,0,0,0,0
286,"02:15:07AM Feb 6, 2022",98,63,0,0,0,0,0
287,"02:15:11AM Feb 6, 2022",98,63,0,0,0,0,0
288,"02:15:15AM Feb 6, 2022",98,62,0,0,0,0,0
289,"02:15:19AM Feb 6, 2022",98,64,0,0,0,0,0
290,"02:15:23AM Feb 6, 2022",98,68,0,0,0,0,0
291,"02:15:27AM Feb 6, 2022",98,69,0,0,0,0,0
292,"02:15:31AM Feb 6, 2022",98,66,0,0,0,0,0
293,"02:15:35AM Feb 6, 2022",98,63,0,0,0,0,0
294,"02:15:39AM Feb 6, 2022",98,67,0,0,0,0,0
295,"02:15:43AM Feb 6, 2022",98,72,0,0,0,0,0
296,"02:15:47AM Feb 6, 2022",98,76,0,0,0,0,0
297,"02:15:51AM Feb 6, 2022",98,80,0,0,0,0,0
298,"02:15:55AM Feb 6, 2022",98,74,0,0,0,0,0
299,"02:15:59AM Feb 6, 2022",98,70,0,0,0,0,0
300,"02:16:03AM Feb 6, 2022",98,69,0,0,0,0,0
301,"02:16:07AM Feb 6, 2022",98,67,0,0,0,0,0
302,"02:16:11AM Feb 6, 2022",98,59,0,0,0,0,0
303,"02:16:15AM Feb 6, 2022",98,64,0,0,0,0,0
304,"02:16:19AM Feb 6, 2022",98,68,0,0,0,0,0
305,"02:16:23AM Feb 6, 2022",98,67,0,0,0,0,0
306,"02:16:27AM Feb 6, 2022",98,64,0,0,0,0,0
307,"02:16:31AM Feb 6, 2022",98,65,0,0,0,0,0
308,"02:16:35AM Feb 6, 2022",98,62,0,0,0,0,0
309,"02:16:39AM Feb 6, 2022",98,61,0,0,0,0,0
310,"02:16:43AM Feb 6, 2022",98,61,0,0,0,0,0
311,"02:16:47AM Feb 6, 2022",98,67,0,0,0,0,0
312,"02:16:51AM Feb 6, 2022",98,70,0,0,0,0,0
313,"02:16:55AM Feb 6, 2022",98,77,0,0,0,0,0
314,"02:16:59AM Feb 6, 2022",98,72,0,0,0,0,0
315,"02:17:03AM Feb 6, 2022",98,69,0,0,0,0,0
316,"02:17:07AM Feb 6, 2022",98,75,0,0,0,0,0
317,"02:17:11AM Feb 6, 2022",98,73,0,0,0,0,0
318,"02:17:15AM Feb 6, 2022",98,75,0,0,0,0,0
319,"02:17:19AM Feb 6, 2022",98,81,0,0,0,0,0
320,"02:17:23AM Feb 6, 2022",98,76,0,0,0,0,0
321,"02:17:27AM Feb 6, 2022",98,75,0,0,0,0,0
322,"02:17:31AM Feb 6, 2022",98,70,0,0,0,0,0
323,"02:17:35AM Feb 6, 2022",98,67,0,0,0,0,0
324,"02:17:39AM Feb 6, 2022",98,69,0,0,0,0,0
325,"02:17:43AM Feb 6, 2022",98,66,0,0,0,0,0
326,"02:17:47AM Feb 6, 2022",98,66,0,0,0,0,0
327,"02:17:51AM Feb 6, 2022",98,65,0,0,0,0,0
328,"02:17:55AM Feb 6, 2022",98,65,0,0,0,0,0
329,"02:17:59AM Feb 6, 2022",98,66,0,0,0,0,0
330,"02:18:03AM Feb 6, 2022",98,69,0,0,0,0,0
331,"02:18:07AM Feb 6, 2022",98,70,0,0,0,0,0
332,"02:18:11AM Feb 6, 2022",98,72,0,0,0,0,0
333,"02:18:15AM Feb 6, 2022",98,71,0,0,0,0,0
